dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
HTC_336_9129,226341,554881,0.000211,0.174371,1.3225
Fault_639,638803,14626683,0.00017,1.758166,1000000000.0
auto,448696,3314611,0.000211,1.010611,3.8452
c-59,41283,260909,0.00023,0.035709,7.4117
ML_Laplace,377003,27689972,0.000227,1.637136,1000000000.0
Ga41As41H72,268097,9378286,0.000208,1.23713,1000000000.0
amazon0505,4878874,4878874,0.000208,0.431254,1000000000.0
oilpan,73753,1835470,0.000243,0.233741,0.502
3D_28984_Tetra,28985,599170,0.000224,0.033907,22.0736
pkustk02,10801,410400,0.000234,0.053296,1.0318
c-69,67459,345714,0.00023,0.053466,11.674
lowThrust_13,18477,117580,0.000221,0.025091,0.3968
c-66b,49990,274498,0.000237,0.039155,7.1119
s3dkq4m2,90450,2455670,0.00023,0.258163,0.5361
hollywood-2009,1139906,57515616,0.000205,9.333673,1000000000.0
RM07R,381690,37464962,0.000211,2.306816,1000000000.0
c-57,37834,221515,0.000224,0.030998,0.3722
helm2d03,392258,1567096,0.000202,0.32368,1.014
t3dl_a,20361,265113,0.000218,0.030323,0.3831
skirt,12599,104559,0.000259,0.022099,0.2299
Serena,1391350,32961525,0.000211,4.376134,1000000000.0
darcy003,389875,1167685,0.000266,0.389424,1.1362
t3dl,20361,265113,0.000205,0.030483,0.3833
transient,178867,961790,0.000218,0.141325,2958.4304
nh2010,48838,117275,0.000224,0.032749,0.2813
ct20stif,52330,1375396,0.00023,0.16177,1.4868
coPapersCiteseer,434103,16036720,0.00017,2.17417,1000000000.0
cbuckle,13682,345098,0.000198,0.040832,1.3022
roadNet-CA,1971282,2766607,0.000173,0.745651,1000000000.0
viscorocks,37763,1162244,0.000224,0.060314,0.3842
TSOPF_FS_b162_c3,30799,904612,0.000211,0.11585,0.5129
Dubcova1,16130,134569,0.000221,0.01831,0.2744
venturiLevel3,4026820,8054237,0.000173,1.980362,1000000000.0
mult_dcop_01,25188,193276,0.000205,0.023536,139.7699
bauru5727,40367,145019,0.000221,0.022822,0.3642
barrier2-11,115626,3897557,0.000214,0.318042,59.1788
TSOPF_RS_b300_c3,42139,4413449,0.000221,0.288672,1.8916
delaunay_n22,4194305,12582869,0.000192,2.944656,1000000000.0
fem_hifreq_circuit,491101,20239237,0.000202,1.649475,1000000000.0
tsyl201,20686,1237821,0.000224,0.149056,1.5705
delaunay_n17,131073,393176,0.000221,0.090634,0.3105
conf5_4-8x8-20,49153,1916928,0.000214,0.128006,0.8022
adaptive,6815745,13624320,0.000218,4.344557,1000000000.0
Si34H36,97570,2626974,0.000211,0.339811,3.0668
shermanACb,18511,145149,0.000234,0.021552,37.1139
net75,23121,756160,0.000173,0.100867,3.3512
wikipedia-20070206,3566908,45030389,0.000205,8.241892,1000000000.0
delaunay_n20,1048577,3145686,0.000173,0.737821,1000000000.0
flickr,820879,9837214,0.000208,1.252515,1000000000.0
CurlCurl_4,2380516,14448191,0.000195,1.707178,1000000000.0
shipsec8,114920,3384159,0.000227,0.396506,1.2794
