dataSet,num_nodes,num_edges,sputnik,rode,tcgnn
qa8fm,66128,863353,22.161337,0.045037,0.222
raefsky3,21201,1488768,2.317555,0.081315,0.2091
raefsky4,19780,674195,2.006234,0.055955,0.2435
rajat15,37262,443573,7.051347,0.030205,3.8292
rajat22,39900,197264,8.074195,0.024198,8.3924
rajat26,51033,249302,13.201159,0.025325,8.3562
rajat29,643995,4866270,2097.650879,0.311622,85750.9922
rajat30,643995,6175377,2097.723877,0.368627,10000000.0
ramage02,16831,1441591,1.472346,0.071584,0.4643
Reuters911,13333,148038,0.908605,0.017277,2.4726
rgg_n_2_15_s0,32769,160240,5.456176,0.018032,0.1002
rgg_n_2_22_s0,4194305,30359198,0.000653,1.848134,10000000.0
rim,22561,1014951,2.610394,0.067766,0.2414
RM07R,381690,37464962,738.006714,1.527222,10000000.0
rma10,46836,2374001,11.166048,0.150058,0.4358
roadNet-CA,1971282,2766607,19651.238281,0.602531,2.0162
roadNet-PA,1090921,1541898,6018.76416,0.334803,1.1424
roadNet-TX,1393384,1921660,9818.589844,0.421098,1.4471
s3dkq4m2,90450,2455670,41.453899,0.125686,0.2347
s3dkt3m2,90450,1921955,41.450787,0.089942,0.1961
s4dkt3m2,90450,1921955,41.455276,0.09472,0.1975
Serena,1391350,32961525,9791.666016,1.923142,10000000.0
shermanACb,18511,145149,1.747382,0.016525,23.2648
ship_001,34921,2339575,6.243715,0.134182,0.6029
ship_003,121729,4103881,75.117233,0.304666,0.6268
shipsec1,140875,3977139,100.523605,0.269549,0.609
shipsec5,179861,5146478,163.805038,0.341738,10000000.0
shipsec8,114920,3384159,66.921066,0.244893,0.5503
Si10H16,17078,446500,1.490912,0.024538,0.5677
Si34H36,97570,2626974,48.250153,0.109299,1.3235
Si41Ge41H72,185640,7598452,174.530731,0.257914,10000000.0
Si5H12,19897,379247,2.019674,0.025949,0.5013
Si87H76,240370,5451000,292.40213,0.240976,10000000.0
sinc15,11533,568526,0.688006,0.045629,1.239
SiO,33402,675528,5.667696,0.033242,0.9568
SiO2,155332,5719417,122.161423,0.18073,10000000.0
skirt,12599,104559,0.81385,0.014813,0.0872
smallworld,100001,499998,50.641876,0.036442,0.1384
sme3Dc,42931,3148656,9.417354,0.187347,6.2377
smt,25711,1889447,3.399059,0.099523,0.5884
soc-LiveJournal1,4847572,68993773,0.00056,5.633613,10000000.0
soc-sign-Slashdot090221,82145,549202,34.165817,0.037149,1.4989
sparsine,50001,799494,12.685164,0.048547,0.58
srb1,54925,1508538,15.314367,0.094534,0.8542
Stanford,281904,2312497,402.03949,0.150899,605.3764
std1_Jac2,21983,1248731,2.465062,0.039626,4.5667
std1_Jac3,21983,1455848,2.466419,0.045398,6.1972
stokes128,49667,295938,12.511495,0.022022,0.103
struct3,53571,613632,14.555658,0.034358,0.1046
t3dh,79172,2215638,31.788868,0.161904,0.479
t3dh_a,79172,2215638,31.789495,0.16208,0.4784
t3dh_e,79172,2215638,31.791351,0.162093,0.4781
t3dl,20361,265113,2.115319,0.020096,0.1406
t3dl_a,20361,265113,2.115216,0.020096,0.1397
tandem_vtx,18455,135902,1.736784,0.017734,0.1519
ted_A,10606,424587,0.583718,0.03135,0.2016
ted_AB,10606,522387,0.584826,0.030166,0.3306
ted_AB_unscaled,10606,522387,0.584707,0.030451,0.33
ted_A_unscaled,10606,424587,0.583702,0.032342,0.2018
thread,29737,2249892,4.540118,0.101094,0.8865
tmt_sym,726714,2903837,2670.973145,0.229773,0.8553
torso1,116159,8516500,68.31089,0.198778,10000000.0
transient,178867,961790,161.898468,0.067885,2843.5613
trdheim,22099,978711,2.503565,0.065811,0.1831
Trefethen_20000,20001,287233,2.042218,0.019085,0.1866
Trefethen_20000b,20000,287217,2.038592,0.019155,0.1856
troll,213454,6099282,230.674286,0.393174,10000000.0
TSOPF_FS_b162_c1,10799,305732,0.601683,0.02313,0.1787
TSOPF_FS_b162_c3,30799,904612,4.828541,0.05496,0.228
TSOPF_FS_b162_c4,40799,1204322,8.45369,0.073296,0.2555
TSOPF_FS_b300,29215,2203949,4.372515,0.072237,0.6987
TSOPF_FS_b300_c1,29215,2203949,4.372208,0.072349,0.6947
TSOPF_FS_b300_c2,56815,4391071,16.459581,0.15631,0.9659
TSOPF_FS_b300_c3,84415,6578753,36.230484,0.243453,10000000.0
TSOPF_FS_b39_c19,76217,998359,29.425558,0.079306,0.1726
TSOPF_FS_b39_c30,120217,1575639,73.165245,0.13008,0.2451
TSOPF_FS_b39_c7,28217,368599,4.047309,0.029984,0.1091
TSOPF_RS_b162_c3,15375,610299,1.218451,0.034634,0.1941
TSOPF_RS_b162_c4,20375,812749,2.126333,0.043968,0.2114
TSOPF_RS_b2052_c1,25627,6761100,3.500329,0.190278,10000000.0
TSOPF_RS_b2383,38121,16171169,7.801101,0.349139,10000000.0
TSOPF_RS_b2383_c1,38121,16171169,7.801773,0.348787,10000000.0
TSOPF_RS_b300_c1,14539,1474325,1.110432,0.043069,0.5812
TSOPF_RS_b300_c2,28339,2943887,4.142755,0.086448,0.8445
TSOPF_RS_b300_c3,42139,4413449,9.110608,0.135408,0.9376
TSOPF_RS_b39_c19,38099,684206,7.368295,0.065488,0.1275
TSOPF_RS_b39_c30,60099,1079986,18.312742,0.108333,0.1872
TSOPF_RS_b39_c7,14099,252446,1.018758,0.029741,0.0905
TSOPF_RS_b678_c1,18697,4396289,1.880035,0.09217,3.2766
TSOPF_RS_b678_c2,35697,8781949,6.686769,0.177997,10000000.0
tsyl201,20686,1237821,2.200214,0.061027,0.7473
tube1,21499,459277,2.356995,0.029347,0.113
tube2,21499,459277,2.35727,0.028406,0.1167
turon_m,189925,912345,182.54306,0.068211,0.2591
usroads,129165,165435,84.436638,0.030051,0.1124
usroads-48,126147,161950,80.543701,0.028771,0.1109
vanbody,47073,1191985,11.255308,0.073293,0.237
venturiLevel3,4026820,8054237,0.000544,1.047552,10000000.0
vibrobox,12329,177578,0.781728,0.018509,0.303
viscorocks,37763,1162244,7.253491,0.073517,0.1671
vsp_barth5_1Ksep_50in_5Kout,32213,101805,5.26752,0.01497,0.1118
vsp_bcsstk30_500sep_10in_1Kout,58349,2016578,17.293638,0.135456,2.0725
vsp_bump2_e18_aa01_model1_crew1,56439,300801,16.140722,0.026208,0.2601
vsp_c-60_data_cti_cs4,85831,241080,37.299934,0.029411,2.3244
vsp_finan512_scagr7-2c_rlfddd,139753,552020,98.851608,0.048765,0.3003
vsp_mod2_pgp2_slptsk,101365,389368,52.009155,0.039021,0.8793
vsp_model1_crew1_cr42_south31,45102,189976,10.316858,0.019437,0.2245
vsp_msc10848_300sep_100in_1Kout,21997,1221028,2.486301,0.067504,2.9638
vsp_sctap1-2b_and_seymourl,40175,140831,8.186358,0.023309,1.7159
vsp_south31_slptsk,39669,189914,7.982669,0.024675,0.2305
vsp_vibrobox_scagr7-2c_rlfddd,77329,435586,30.289951,0.034275,0.3478
wathen100,30402,251001,4.699805,0.021018,0.0697
wathen120,36442,301101,6.741651,0.022986,0.0715
web-Google,916429,5105039,4247.500488,0.434298,10000000.0
web-NotreDame,325730,1497134,536.671082,0.117715,8.9175
wikipedia-20051105,1634990,19753078,13519.168945,1.525165,10000000.0
wikipedia-20060925,2983495,37269096,0.000781,2.999053,10000000.0
wikipedia-20061104,3148441,39383235,0.000624,3.180451,10000000.0
wikipedia-20070206,3566908,45030389,0.00064,3.663504,10000000.0
wiki-Talk,2394386,5021410,0.000678,0.60889,10000000.0
windscreen,22693,752541,2.637094,0.068339,0.1737
wy2010,86205,213793,37.61734,0.030842,0.2332
x104,108385,5138004,59.614124,0.396019,10000000.0
Zd_Jac2,22836,1642833,2.665136,0.050243,5.3807
Zd_Jac3,22836,1916152,2.667389,0.056112,7.1669
Zd_Jac6,22836,1711983,2.665155,0.050499,6.8271
GitHub,615706,615706,7.220112,0.034371,20.9917
artist,1638396,1638396,12.958921,0.082618,2.8042
ell,672479,672479,210.08284,0.074115,0.6038
amazon,9068096,9068096,823.408386,0.447242,10000000.0
amazon0505,4878874,4878874,851.445312,0.306298,7.6803
amazon0505,4878874,4878874,851.445312,0.306298,7.6737
dd,1686092,1686092,567.516479,0.130902,0.4902
yelp,13954819,13954819,2599.463623,0.876131,10000000.0
comamazon,1851744,1851744,567.306885,0.160038,1.3442
IGB_small,13068130,13068130,5057.989258,1.051024,10000000.0
AmazonProducts,264339468,264339468,12474.018555,9.573725,10000000.0
