dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,rode,ours_gflops
dielFilterV2real, 1157457, 1157457, 24848204, 6742.942871, 0.235844, 1.493283,1064.958798
dielFilterV3clx, 420409, 420409, 16653308, 890.178589, 1.197301, 1.197405,890.101445
Dubcova1, 16130, 16130, 134569, 1.324954, 6.500164, 0.013123,656.274112
Dubcova3, 146690, 146690, 1891669, 108.406845, 1.116782, 0.098576,1228.157150
e40r0100, 17282, 17282, 553562, 1.525741, 23.220175, 0.045267,782.641021
EAT_RS, 23220, 23220, 325592, 2.731190, 7.629599, 0.023066,903.418432
ecology1, 1000001, 1000001, 2998000, 5032.628418, 0.038126, 0.299894,639.798533
ecology2, 1000000, 1000000, 2997995, 5032.362305, 0.038128, 0.299430,640.788924
email-Enron, 36693, 36693, 367654, 6.801203, 3.459661, 0.024698,952.718309
Emilia_923, 923137, 923137, 20964171, 4289.186035, 0.312812, 1.036624,1294.304398
engine, 143572, 143572, 2424822, 103.846313, 1.494407, 0.134544,1153.441287
enron, 69245, 69245, 276143, 24.140713, 0.732089, 0.029674,595.585028
eu-2005, 862665, 862665, 19235140, 3745.237061, 0.328697, 1.194234,1030.827596
ex11, 16615, 16615, 1096948, 1.424605, 49.280104, 0.065859,1065.981268
ex19, 12006, 12006, 259879, 0.739085, 22.503853, 0.020253,821.232423
F1, 343792, 343792, 13590452, 595.278137, 1.461147, 1.046490,831.149121
F2, 71506, 71506, 2682895, 25.830816, 6.647304, 0.201245,853.215953
Fault_639, 638803, 638803, 14626683, 2054.109131, 0.455724, 0.733168,1276.798408
fcondp2, 201823, 201823, 5748069, 205.204254, 1.792733, 0.444518,827.584183
fem_hifreq_circuit, 491101, 491101, 20239237, 1214.338623, 1.066680, 1.684726,768.855536
filter3D, 106438, 106438, 1406808, 57.091206, 1.577050, 0.075030,1199.989790
finance256, 37377, 37377, 167936, 7.058156, 1.522764, 0.018986,566.108230
Flan_1565, 1564795, 1564795, 59485419, 12322.185547, 0.308960, 4.974522,765.313148
flickr, 820879, 820879, 9837214, 3408.040527, 0.184734, 0.549523,1145.687177
foldoc, 13357, 13357, 120238, 0.915267, 8.407635, 0.016531,465.497464
Freescale1, 3428756, 3428756, 18920347, 0.000672, 1801937.823828, 1.345891,899.702901
fullb, 199188, 199188, 5953632, 199.885529, 1.906253, 0.418358,910.779916
