dataSet,num_nodes,num_edges,sputnik,cusparse,rode,gespmm,advisor,tcgnn,dtc
dielFilterV3clx,420409,16653308,6.213974,2.443056,2.470573,3.3221,4.322,10000000.0,3.169142246246338
Dubcova1,16130,134569,0.058506,0.048141,0.022301,0.0354,0.0542,0.0474,0.1345888078212738
Dubcova3,146690,1891669,0.837021,0.426816,0.291296,0.4767,0.709,0.2907,0.6837760210037231
e40r0100,17282,553562,0.104125,0.103882,0.073392,0.107,0.1738,0.138,0.1340384036302566
EAT_RS,23220,325592,0.120666,0.084637,0.05784,0.0762,0.1371,0.4388,0.2408351898193359
ecology1,1000001,2998000,3.416931,1.959078,1.356125,2.1525,2.856,1.2732,4.119503974914551
ecology2,1000000,2997995,3.41839,1.956243,1.356448,2.152,2.8675,1.2697,4.155651092529297
email-Enron,36693,183831,0.197197,0.115814,0.078154,0.1216,0.197,1.3196,0.2444479912519455
Emilia_923,923137,20964171,9.479213,3.183546,2.231366,4.4927,5.7843,10000000.0,5.096361637115479
engine,143572,2424822,0.827824,0.526253,0.385002,0.6177,0.8963,0.5949,0.8324896097183228
enron,69245,276143,0.249402,0.142749,0.096477,0.1123,0.1497,0.9095,0.3277215957641601
eu-2005,862665,19235140,5.148637,3.124317,2.763565,4.1154,5.5116,10000000.0,4.500089645385742
ex11,16615,1096948,0.146742,0.165478,0.115398,0.1943,0.284,0.1802,0.1475487947463989
ex19,12006,259879,0.063056,0.058781,0.030979,0.0549,0.0865,0.0647,0.1056831926107406
F1,343792,13590452,4.004845,2.178986,2.161894,2.8968,4.0429,10000000.0,2.6321535110473637
F2,71506,2682895,0.557107,0.434544,0.376093,0.5351,0.7702,0.4698,0.5426656007766724
Fault_639,638803,14626683,6.595332,2.216259,1.550294,3.0639,4.0275,10000000.0,3.4791970252990723
fcondp2,201823,5748069,1.675856,0.841322,0.79984,1.1436,1.5965,10000000.0,1.070255994796753
fem_hifreq_circuit,491101,20239237,4.19392,3.24552,3.336698,4.5813,5.3477,10000000.0,4.83858585357666
filter3D,106438,1406808,0.602464,0.294086,0.189078,0.3644,0.4851,0.4358,0.6452416181564331
finance256,37377,167936,0.127069,0.094266,0.052643,0.0778,0.1331,0.0788,0.202428787946701
Flan_1565,1564795,59485419,13.547613,8.810007,9.008368,11.4717,15.5054,10000000.0,9.399314880371094
flickr,820879,9837214,4.080893,2.779514,2.442979,3.0817,4.3025,10000000.0,6.136652946472168
foldoc,13357,120238,0.046125,0.04127,0.021869,0.0334,0.0624,0.109,0.1062656044960022
Freescale1,3428756,18920347,15.517504,11.249664,8.580759,11.5319,14.6227,10000000.0,17.307720184326172
fullb,199188,5953632,1.60377,0.902022,0.830864,1.221,1.7317,10000000.0,1.0701855421066284
fxm4_6,18893,258368,0.083741,0.081203,0.03833,0.0574,0.1106,0.1151,0.1275807917118072
G2_circuit,150103,438388,0.535021,0.326813,0.216618,0.3208,0.4534,0.1993,0.7338719964027405
G3_circuit,1585479,4623152,5.586525,3.332499,2.331664,3.5459,4.7698,1.9735,6.612175941467285
Ga10As10H30,113082,3114357,0.717222,0.515005,0.310451,0.6932,0.8414,0.9017,0.9582688212394714
Ga19As19H42,133124,4508981,0.932048,0.707411,0.439562,0.9676,1.182,1.2066,1.1786911487579346
Ga3As3H12,61350,3016148,0.499165,0.432016,0.283251,0.593,0.7806,1.3036,0.6226143836975098
