dataSet,rows_,columns_,nonzeros_,sputnik,Sputnik_gflops,cusparse,cuSPARSE_gflops,rode,ours_gflops
Cube_Coup_dt6, 2164761, 2164761, 64685452, 21.675606, 1527.936602, 9.623114, 3441.604662, 9.089440, 3643.673412
CurlCurl_0, 11084, 11084, 62213, 0.038336, 830.891489, 0.033094, 962.490809, 0.014541, 2190.598523
CurlCurl_4, 2380516, 2380516, 14448191, 12.153689, 608.660748, 5.016887, 1474.514873, 3.667270, 2017.160784
cvxqp3, 17501, 17501, 69981, 0.053946, 664.192656, 0.051997, 689.086133, 0.021107, 1697.537919
cyl6, 13682, 13682, 363961, 0.084512, 2204.988986, 0.068573, 2717.521063, 0.044218, 4214.340580
darcy003, 389875, 389875, 1167685, 1.459795, 409.546986, 0.953206, 627.203817, 0.665811, 897.934303
dawson5, 51538, 51538, 531157, 0.228227, 1191.586156, 0.150224, 1810.312563, 0.084730, 3209.650277
dblp-2010, 326187, 326187, 807700, 1.146413, 360.727320, 0.548272, 754.265050, 0.418966, 987.053881
dc3, 116836, 116836, 766396, 5.906794, 66.431093, 0.338858, 1157.993058, 0.241082, 1627.642920
de2010, 24116, 24116, 58028, 0.073318, 405.223475, 0.060234, 493.251881, 0.033485, 887.278323
debr, 1048577, 1048577, 2097149, 3.639869, 294.994218, 2.154355, 498.404473, 1.592365, 674.305471
delaunay_n15, 32769, 32769, 98274, 0.106230, 473.652430, 0.078237, 643.128141, 0.046835, 1074.326342
delaunay_n16, 65537, 65537, 196575, 0.211539, 475.781328, 0.153197, 656.974559, 0.090208, 1115.714793
delaunay_n17, 131073, 131073, 393176, 0.465792, 432.180280, 0.260595, 772.485871, 0.184358, 1091.928105
delaunay_n18, 262145, 262145, 786396, 0.994765, 404.753717, 0.496544, 810.874300, 0.365133, 1102.707679
delaunay_n19, 524289, 524289, 1572823, 2.031171, 396.463560, 0.990285, 813.185617, 0.731424, 1100.982984
delaunay_n20, 1048577, 1048577, 3145686, 4.082867, 394.475552, 1.924064, 837.077757, 1.451869, 1109.322832
delaunay_n21, 2097153, 2097153, 6291408, 8.118528, 396.771546, 3.869869, 832.379861, 2.900409, 1110.602102
denormal, 89401, 89401, 622812, 0.352435, 904.789696, 0.206099, 1547.214854, 0.135574, 2352.064571
dictionary28, 52653, 52653, 89038, 0.138304, 329.617781, 0.098602, 462.339933, 0.055190, 826.003329
dielFilterV2clx, 607233, 607233, 12958252, 6.566605, 1010.358536, 2.118093, 3132.358153, 1.764202, 3760.695619
dielFilterV2real, 1157457, 1157457, 24848204, 13.426468, 947.552294, 4.001843, 3179.105131, 3.481901, 3653.831980
dielFilterV3clx, 420409, 420409, 16653308, 6.213974, 1372.148190, 2.443056, 3490.093551, 2.470573, 3451.221317
Dubcova1, 16130, 16130, 134569, 0.058506, 1177.653544, 0.048141, 1431.204467, 0.022301, 3089.545034
Dubcova3, 146690, 146690, 1891669, 0.837021, 1157.121248, 0.426816, 2269.208648, 0.291296, 3324.915243
e40r0100, 17282, 17282, 553562, 0.104125, 2721.962048, 0.103882, 2728.334477, 0.073392, 3861.779928
EAT_RS, 23220, 23220, 325592, 0.120666, 1381.529673, 0.084637, 1969.629063, 0.057840, 2882.142106
ecology1, 1000001, 1000001, 2998000, 3.416931, 449.226493, 1.959078, 783.519432, 1.356125, 1131.884042
